,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p044,0.0,0.0,0.0,0.0,0.0,-4.0,-100.0,0.0,14.2857142857,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452173913043,-39.1304347826,-68.6956521739,5.34161490683,73.9130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p045,0.0,0.0,0.0,0.0,0.0,-12.7272727273,45.4545454545,81.8181818182,-27.2727272727,142.424242424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.6513761468,56.880733945,40.3669724771,15.5963302752,-11.9266055046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p046,0.0,0.0,0.0,0.0,0.0,-76.0,50.0,200.0,-14.2857142857,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.91957104558,73.726541555,-9.91957104558,-8.08119494447,32.9758713137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p047,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,500.0,-100.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.1775700935,-42.0560747664,-42.0560747664,33.5113484646,22.1183800623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p048,0.0,0.0,0.0,0.0,0.0,-4.0,-100.0,-100.0,14.2857142857,166.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.20987654321,1.23456790123,25.9259259259,-13.2275132275,84.3621399177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p049,0.0,0.0,0.0,0.0,0.0,3.0243902439,-100.0,-12.1951219512,-8.01393728223,95.1219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,10.625,21.875,-18.0357142857,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6774193548,-41.935483871,-25.0,20.9677419355,83.8709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.6303901437,-6.36550308008,23.2032854209,24.6113229686,8.41889117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p052,0.0,0.0,0.0,0.0,0.0,-61.6,-100.0,-100.0,37.1428571429,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27225806452,33.1612903226,-2.45161290323,-25.6774193548,25.935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.942675159236,-50.3184713376,-50.3184713376,10.2820746133,37.5796178344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p054,0.0,0.0,0.0,0.0,0.0,-13.4117647059,123.529411765,5.88235294118,-49.5798319328,182.352941176,22.1818181818,9.09090909091,-100.0,-6.49350649351,-100.0,0.0,0.0,0.0,0.0,0.0,-18.3551401869,14.953271028,26.1682242991,13.7516688919,68.2242990654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,20.0,20.0,-31.4285714286,-100.0,0.0,0.0,0.0,0.0,0.0,-17.3115823817,-11.9086460033,29.2006525285,24.1668608716,56.6068515498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p056,0.0,0.0,0.0,0.0,0.0,25.2881355932,-100.0,-49.1525423729,-24.4552058111,35.593220339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.6688741722,37.0860927152,29.1390728477,14.6641438032,50.9933774834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51724137931,-18.9655172414,-46.5517241379,-6.89655172414,125.287356322,53.6,-100.0,-100.0,-31.4285714286,-100.0,0.0,0.0,0.0,0.0,0.0
p058,0.0,0.0,0.0,0.0,0.0,-36.0,300.0,300.0,-100.0,433.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.8365758755,32.2957198444,77.4319066148,14.730405781,-25.2918287938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9120879121,-47.2527472527,-73.6263736264,-43.4850863422,-100.0,0.0,0.0,0.0,0.0,0.0,6.42696629213,-19.1011235955,-28.0898876404,-10.7544141252,46.8164794007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p060,0.0,0.0,0.0,0.0,0.0,-4.0,20.0,-100.0,2.85714285714,60.0,13.5483870968,-100.0,-100.0,27.1889400922,-39.7849462366,0.0,0.0,0.0,0.0,0.0,-19.7664233577,44.5255474453,-60.5839416058,15.7455683003,89.7810218978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p061,0.0,0.0,0.0,0.0,0.0,12.2077922078,9.09090909091,9.09090909091,-42.1150278293,149.350649351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.71428571429,-50.0,-50.0,6.12244897959,-33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.71428571429,71.4285714286,71.4285714286,-2.04081632653,-100.0,-16.3177189409,-26.6802443992,-43.7881873727,41.0532441082,-2.24032586558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p063,0.0,0.0,0.0,0.0,0.0,12.5209302326,-77.6744186047,-10.6976744186,-23.4551495017,86.0465116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29411764706,-62.1848739496,-9.24369747899,0.840336134454,7.56302521008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p064,0.0,0.0,0.0,0.0,0.0,-23.2,140.0,140.0,-31.4285714286,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.85069984448,-29.0824261275,-47.7449455677,23.1726283048,-20.3732503888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3152639087,66.0485021398,-5.84878744651,-2.66965559405,-17.8316690442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p066,0.0,0.0,0.0,0.0,0.0,32.9230769231,-7.69230769231,-7.69230769231,-47.2527472527,23.0769230769,13.7777777778,-55.5555555556,-11.1111111111,-11.1111111111,-40.7407407407,0.0,0.0,0.0,0.0,0.0,-7.04761904762,-46.0317460317,-39.6825396825,26.0770975057,31.2169312169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p068,0.0,0.0,0.0,0.0,0.0,24.0975609756,17.0731707317,-70.7317073171,-62.3693379791,114.634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.2803738318,-14.7663551402,0.934579439252,18.5580774366,-28.2242990654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p069,0.0,0.0,0.0,0.0,0.0,0.0851063829787,40.4255319149,40.4255319149,-27.0516717325,87.2340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.204638472,-3.41064120055,-44.3383356071,34.7105827324,44.0654843111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p070,0.0,0.0,0.0,0.0,0.0,8.19047619048,-100.0,-33.3333333333,-12.925170068,103.174603175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.1226993865,-43.5582822086,-38.6503067485,35.3198948291,-5.11247443763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p071,0.0,0.0,0.0,0.0,0.0,12.2580645161,-56.4516129032,-51.6129032258,-18.4331797235,80.6451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.60854092527,-61.5658362989,-61.5658362989,31.7742755465,-37.3665480427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-32.3170731707,-19.512195122,9.23344947735,129.268292683,0.0,0.0,0.0,0.0,0.0,36.6779661017,-49.1525423729,-100.0,-15.7384987893,-100.0
p073,0.0,0.0,0.0,0.0,0.0,18.1538461538,-100.0,-7.69230769231,-20.8791208791,23.0769230769,6.66666666667,-100.0,33.3333333333,14.2857142857,-100.0,0.0,0.0,0.0,0.0,0.0,10.1880998081,-3.26295585413,-65.4510556622,6.60817109953,-72.3608445298,0.0,0.0,0.0,0.0,0.0,-4.0,-100.0,-100.0,-14.2857142857,300.0
p074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.56133829,38.2899628253,-4.08921933086,27.4561869357,-16.7286245353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p075,0.0,0.0,0.0,0.0,0.0,-7.25423728814,22.0338983051,-49.1525423729,-7.02179176755,62.7118644068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18828451883,20.5020920502,17.9916317992,-2.45068738793,-9.62343096234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p076,0.0,0.0,0.0,0.0,0.0,-4.0,-100.0,100.0,-42.8571428571,166.666666667,-17.7142857143,-100.0,242.857142857,-2.04081632653,-100.0,9.71428571429,-14.2857142857,71.4285714286,-2.04081632653,-100.0,-14.8865979381,8.24742268041,-41.2371134021,-6.33284241532,130.927835052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,100.0,14.2857142857,-100.0,0.0,0.0,0.0,0.0,0.0,-32.9811320755,-32.0754716981,35.8490566038,52.0215633423,35.8490566038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
