,ang,ang,ang,fea,fea,fea,ntr,ntr,ntr,sad,sad,sad,sup,sup,sup,hap,hap,hap,dis,dis,dis
,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4
,,,,,,,,,,,,,,,,,,,,,
p058,-20.0832466181,32.7188940092,39.3548387097,-17.1285779191,35.2112676056,28.4507042254,0.0,0.0,0.0,-7.35060814384,-21.3114754098,37.7049180328,-1.46627565982,149.350649351,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
p059,30.1165627541,-53.9015606242,-55.6302521008,-1.05742203186,39.4190871369,-24.3153526971,3.22580645161,-23.8095238095,6.66666666667,-7.65224938522,-38.5009609225,50.6726457399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p060,-48.3870967742,-100.0,220.0,-15.4311005192,-11.345646438,55.7783641161,-22.5806451613,-14.2857142857,80.0,-8.11768876285,30.612244898,3.73626373626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p061,3.22580645161,128.571428571,-100.0,-27.4629468178,103.861003861,12.4324324324,3.22580645161,14.2857142857,-20.0,-16.3293929072,-8.42945874002,56.5217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p062,-35.6514453289,75.1391465677,57.9220779221,-10.6699751861,5.49450549451,29.2307692308,29.0322580645,-100.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p063,-0.322580645161,-7.85714285714,6.5,-18.1566820276,29.7959183673,35.4285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p064,0.0,0.0,0.0,-5.21555622551,18.5580774366,3.17757009346,0.0,0.0,0.0,-6.41077991017,30.198915009,-1.26582278481,0.0,0.0,0.0,0.0,0.0,0.0,-11.5207373272,-2.04081632653,37.1428571429
p065,4.74383301708,-12.6050420168,-5.88235294118,-40.4466501241,26.5934065934,106.769230769,0.0,0.0,0.0,-16.4809384164,57.9220779221,10.5454545455,0.0,0.0,0.0,0.0,0.0,0.0,-1.585565883,4.6004842615,1.69491525424
p066,13.5483870968,-54.2857142857,-4.0,16.1290322581,-100.0,20.0,0.0,0.0,0.0,-28.1997918835,52.0737327189,50.9677419355,0.0,0.0,0.0,0.0,0.0,0.0,-35.4838709677,71.4285714286,60.0
p068,-28.5359801489,163.736263736,-26.1538461538,-14.807617567,45.9552495697,13.734939759,0.0,0.0,0.0,-16.3169433135,-37.8640776699,77.0873786408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p069,10.599078341,-51.0204081633,2.85714285714,-6.30272952854,9.01098901099,13.2307692308,0.0,0.0,0.0,-1.12054329372,-37.4436090226,29.6842105263,3.22580645161,128.571428571,-100.0,0.0,0.0,0.0,-4.28152492669,30.9090909091,-8.36363636364
p070,-8.41856805665,75.6097560976,-26.8292682927,0.0,0.0,0.0,0.0,0.0,0.0,-17.4193548387,128.571428571,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p071,16.1290322581,-100.0,20.0,0.746584025919,-25.1403618216,15.2838427948,10.1537129249,1.24640460211,-32.3489932886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.9784946237,52.380952381,6.66666666667
p072,0.0,0.0,0.0,-17.6481100885,-8.82469331223,60.8864265928,0.0,0.0,0.0,30.064516129,-81.7142857143,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.0220298977,111.846689895,20.9756097561
p073,-4.48261416003,-19.8515769944,27.7922077922,-8.75576036866,-14.2857142857,37.1428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99674708593,-25.0900360144,-7.2268907563
p074,-7.09677419355,37.1428571429,-4.0,0.0,0.0,0.0,-61.2903225806,414.285714286,-100.0,-1.51909459541,10.6405789333,-2.7392120075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p075,16.1290322581,71.4285714286,-100.0,-22.5806451613,46.9387755102,37.1428571429,12.6099706745,-100.0,30.9090909091,-12.9300330623,23.4665611397,23.6565096953,0.0,0.0,0.0,0.0,0.0,0.0,3.52073732719,56.7346938776,-50.6285714286
p076,0.0,0.0,0.0,-35.3205389955,64.9186256781,64.0506329114,0.0,0.0,0.0,-5.81239779991,18.4990125082,5.06912442396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.1392604249,27.1080139373,21.756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p078,-11.5207373272,87.012987013,-25.1948051948,-1.77419354839,-35.7142857143,30.5,-4.71464019851,110.989010989,-63.0769230769,1.1938023876,-62.2047244094,39.842519685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p079,1.49091894822,23.8895558223,-21.3445378151,0.0,0.0,0.0,0.0,0.0,0.0,-5.098855359,5.06912442396,12.2580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p080,-48.3870967742,128.571428571,60.0,-15.2073732719,-42.8571428571,77.1428571429,13.9379184419,42.3180592992,-72.8301886792,-3.22580645161,157.142857143,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.71464019851,-47.2527472527,47.6923076923
p081,-1.86278964107,107.645875252,-69.5774647887,0.0,0.0,0.0,0.0,0.0,0.0,-24.7114530926,43.119266055,46.4220183486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p082,-11.7499582149,56.3286454478,-3.00518134715,-7.20658888126,11.8541033435,14.0425531915,3.77487989019,2.12765957447,-13.1914893617,7.10647586709,-22.6638023631,-6.16541353383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p083,0.71367399372,115.423514539,-83.0088495575,-31.6888045541,7.56302521008,92.9411764706,-61.2903225806,71.4285714286,140.0,-10.0,-31.4285714286,53.0,0.0,0.0,0.0,54.8387096774,-100.0,-100.0,0.0,0.0,0.0
p084,-17.1195288449,67.8719620628,5.5601659751,-18.7657784011,9.31677018634,51.652173913,-26.0997067449,-53.2467532468,118.181818182,0.0,0.0,0.0,0.0,0.0,0.0,3.22580645161,-100.0,60.0,-18.8224240526,79.7503467406,2.52427184466
p085,-100.0,242.857142857,140.0,-5.93132154006,-29.9539170507,39.3548387097,0.0,0.0,0.0,-7.25007984669,18.8118811881,9.30693069307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p086,0.0,0.0,0.0,-20.3366058906,4.34782608696,60.0,35.1043643264,-12.6050420168,-100.0,-22.5806451613,14.2857142857,60.0,0.0,0.0,0.0,54.8387096774,-100.0,-100.0,0.0,0.0,0.0
p087,0.0,0.0,0.0,-30.3225806452,18.6813186813,80.9230769231,0.0,0.0,0.0,6.31782369556,4.27913100724,-22.5806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p088,0.0,0.0,0.0,6.91244239631,-42.8571428571,8.57142857143,0.0,0.0,0.0,-10.5105410211,29.5838020247,11.874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p089,-100.0,357.142857143,60.0,-1.46627565982,24.6753246753,-12.7272727273,0.0,0.0,0.0,-24.7614720582,30.3822937626,55.4929577465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p090,-6.31607481702,64.2256902761,-25.3781512605,-27.7419354839,82.8571428571,28.0,5.05281187554,13.2743362832,-24.9557522124,-35.4838709677,-42.8571428571,140.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.460829493088,-2.04081632653,2.85714285714
p091,23.8709677419,-31.4285714286,-52.0,-7.09677419355,-8.57142857143,28.0,0.0,0.0,0.0,-10.2195716996,15.2460984394,21.0084033613,0.0,0.0,0.0,0.0,0.0,0.0,-7.09677419355,37.1428571429,-4.0
p092,0.981767180926,-10.5590062112,4.34782608696,10.599078341,-2.04081632653,-31.4285714286,-3.22580645161,71.4285714286,-40.0,-7.09677419355,105.714285714,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12230464033,-52.3300229183,46.3101604278
p093,0.0,0.0,0.0,-1.46627565982,-37.6623376623,30.9090909091,35.4838709677,-100.0,-40.0,-7.9700510811,41.307716145,-4.20824295011,0.0,0.0,0.0,0.0,0.0,0.0,-27.7419354839,-8.57142857143,92.0
p094,0.825206301575,59.4684385382,-44.1860465116,-7.5423532142,28.2631038027,3.59712230216,-13.7607186607,-100.0,112.658227848,-0.460829493088,95.9183673469,-65.7142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p095,0.0,0.0,0.0,14.385353095,29.7297297297,-65.4054054054,0.0,0.0,0.0,-17.0942341885,40.3824521935,24.7244094488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p096,-1.71370967742,9.82142857143,-1.5625,-22.5806451613,242.857142857,-100.0,0.0,0.0,0.0,-31.8709677419,1.87755102041,97.4857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
