,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.68085106383,42.9787234043,63.4042553191,-31.2340425532,0.0,0.0,0.0,0.0
p054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.72185430464,108.21192053,15.4966887417,-11.6291390728,0.0,0.0,0.0,0.0
p055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.40898345154,98.5815602837,53.1914893617,-1.84397163121,0.0,0.0,0.0,0.0
p056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.6790352505,49.1651205937,125.60296846,13.9888682746,0.0,0.0,0.0,0.0
p057,0.0,0.0,0.0,0.0,20.0,-100.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.735152488,5.93900481541,126.003210273,-13.7078651685,0.0,0.0,0.0,0.0
p058,0.0,0.0,0.0,0.0,21.0434782609,-100.0,-23.4782608696,-29.0434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.626780626781,69.2307692308,61.8233618234,-31.6239316239,0.0,0.0,0.0,0.0
p059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.04225352113,-4.22535211268,39.9061032864,4.78873239437,0.0,0.0,0.0,0.0
p060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.40506329114,12.4050632911,114.683544304,-40.4556962025,0.0,0.0,0.0,0.0
p061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.81818181818,78.9090909091,29.9393939394,1.81818181818,0.0,0.0,0.0,0.0
p062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.12325285896,47.9034307497,24.0152477764,-8.51334180432,0.0,0.0,0.0,0.0
p063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.5418719212,93.5960591133,9.35960591133,-0.689655172414,0.0,0.0,0.0,0.0
p064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.6218787158,66.9441141498,46.4922711058,10.1545778835,0.0,0.0,0.0,0.0
p065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.27075812274,41.5162454874,-4.69314079422,10.9025270758,0.0,0.0,0.0,0.0
p066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.6782246879,128.016643551,33.1484049931,9.84743411928,-36.0,140.0,60.0,-4.0
p068,0.0,0.0,0.0,0.0,28.0,-100.0,-100.0,-4.0,48.5714285714,-100.0,-100.0,-65.7142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95238095238,14.2857142857,39.2857142857,-40.7142857143,0.0,0.0,0.0,0.0
p069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-100.0,-100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.5864661654,76.8421052632,112.932330827,-16.992481203,0.0,0.0,0.0,0.0
p070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.2702702703,-8.78378378378,55.4054054054,2.16216216216,0.0,0.0,0.0,0.0
p071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.72438672439,54.1125541126,46.6089466089,-16.1904761905,0.0,0.0,0.0,0.0
p072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.6162927981,88.4297520661,46.39905549,16.1747343566,0.0,0.0,0.0,0.0
p073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68656716418,4.70723306544,41.4466130884,-43.2376578645,0.0,0.0,0.0,0.0
p074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.03986710963,7.64119601329,32.8903654485,4.45182724252,0.0,0.0,0.0,0.0
