,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p075,-9.44741532977,7.35930735931,51.5151515152,38.5281385281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.5294117647,174.285714286,140.0,37.1428571429
p076,0.0,0.0,0.0,0.0,0.722394220846,96.4912280702,-100.0,-100.0,0.0,0.0,0.0,0.0,-15.5709342561,81.512605042,-17.6470588235,-5.88235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.88235294118,37.1428571429,60.0,-8.57142857143
p077,-8.02139037433,15.7699443414,79.2207792208,23.1910946197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p078,-6.25882352941,20.6857142857,24.8,9.71428571429,0.0,0.0,0.0,0.0,-0.346020761246,101.680672269,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46679316888,-66.8202764977,93.5483870968,54.8387096774
p079,-1.5047879617,41.5282392027,-19.7674418605,-34.219269103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.26244343891,-47.2527472527,176.923076923,58.2417582418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p080,-10.1191602043,25.6775378962,54.3408360129,23.4726688103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.79028132992,49.0683229814,4.34782608696,-40.3726708075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.9411764706,128.571428571,300.0,128.571428571
p081,-5.51755585955,-41.5282392027,79.8449612403,68.3277962348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0588235294,157.142857143,50.0,71.4285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p082,-27.5039745628,24.6753246753,197.788697789,108.915408915,0.0,0.0,0.0,0.0,-3.8138332256,35.6357927786,-7.69230769231,-17.1114599686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7619047619,36.0544217687,-100.0,-12.925170068
p083,-42.5362104641,96.4106245513,147.236180905,110.193826274,5.32212885154,74.1496598639,-100.0,-100.0,0.0,0.0,0.0,0.0,-14.5510835913,17.2932330827,136.842105263,53.3834586466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.742081448,75.8241758242,69.2307692308,5.49450549451
p084,-12.5394548063,-26.4111498258,204.390243902,87.3170731707,-10.3836317136,90.8074534161,-100.0,-40.3726708075,0.0,0.0,0.0,0.0,5.88235294118,-42.8571428571,0.0,14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.4117647059,242.857142857,-100.0,-100.0
